timestamp,sensorID,raw_VWC,temp,EC
1615346184,0,2646.57,19.8,219
1615346195,1,2703.24,20.1,452
1615346196,0,2646.81,19.8,226
1615346206,1,2702.26,20.1,454
1615346207,0,2647.74,19.8,221
1615346217,1,2703.36,20.1,460
1615346218,0,2647.20,19.8,215
1615346228,1,2703.49,20.1,459
1615346229,0,2646.67,19.8,218
1615346239,1,2701.93,20.1,458
1615346240,0,2646.90,19.8,219
1615346250,1,2704.01,20.1,453
1615346251,0,2646.94,19.8,220
1615346261,1,2702.06,20.1,457
1615346262,0,2648.01,19.8,218
1615346272,1,2702.30,20.1,460
1615346273,0,2646.97,19.8,216
1615346283,1,2703.46,20.1,461
1615346284,0,2648.07,19.8,220
1615346294,1,2702.20,20.1,459
1615346295,0,2646.96,19.8,215
1615346305,1,2702.04,20.1,459
1615346306,0,2646.73,19.8,217
1615346315,1,2703.80,20.1,454
1615346316,0,2648.19,19.8,223
1615346326,1,2705.25,20.1,460
1615346327,0,2646.70,19.8,218
1615346337,1,2703.61,20.1,454
1615346338,0,2648.70,19.8,218
1615346348,1,2701.75,20.1,454
1615346349,0,2647.17,19.8,217
1615346359,1,2702.09,20.1,455
1615346360,0,2647.28,19.8,216
1615346370,1,2702.29,20.1,461
1615346371,0,2648.16,19.8,218
1615346381,1,2703.21,20.1,460
1615346382,0,2646.79,19.8,224
1615346392,1,2701.96,20.1,459
1615346393,0,2647.45,19.8,225
1615346403,1,2701.76,20.1,459
1615346404,0,2646.93,19.8,218
1615346414,1,2705.51,20.1,461
1615346415,0,2647.41,19.8,216
1615346425,1,2703.54,20.1,457
1615346426,0,2647.28,19.8,216
1615346436,1,2703.49,20.1,462
1615346437,0,2647.61,19.8,220
1615346447,1,2701.80,20.1,457
1615346448,0,2648.87,19.8,217
1615346458,1,2703.28,20.1,464
1615346459,0,2648.52,19.8,215
1615346469,1,2703.88,20.1,455
1615346470,0,2648.63,19.8,225
1615346480,1,2705.34,20.1,455
1615346481,0,2647.14,19.8,221
1615346491,1,2705.61,20.1,461
1615346492,0,2647.21,19.8,217
1615346502,1,2705.46,20.1,455
1615346503,0,2647.05,19.8,219
1615346513,1,2704.69,20.1,461
1615346514,0,2648.16,19.8,221
1615346524,1,2702.90,20.1,459
1615346525,0,2648.45,19.8,218
1615346535,1,2703.51,20.1,454
1615346536,0,2648.25,19.8,218
1615346546,1,2703.27,20.1,463
1615346547,0,2647.34,19.8,216
1615346557,1,2704.60,20.1,464
1615346558,0,2648.35,19.8,216
1615346568,1,2702.62,20.1,455
1615346569,0,2648.66,19.8,224
1615346579,1,2704.09,20.1,450
1615346580,0,2648.09,19.8,219
1615346590,1,2702.66,20.1,460
1615346591,0,2647.32,19.8,222
1615346601,1,2705.28,20.1,452
1615346602,0,2647.50,19.8,217
1615346612,1,2705.47,20.1,463
1615346613,0,2647.48,19.8,217
1615346623,1,2704.30,20.1,457
1615346624,0,2648.62,19.8,218
1615346634,1,2704.27,20.1,462
1615346635,0,2647.15,19.8,225
1615346645,1,2703.45,20.1,461
1615346646,0,2648.71,19.8,225
1615346656,1,2702.47,20.1,459
1615346657,0,2648.42,19.8,220
1615346667,1,2704.08,20.1,457
1615346668,0,2648.71,19.8,225
1615346678,1,2702.15,20.1,448
1615346679,0,2648.70,19.8,216
1615346689,1,2703.69,20.1,457
1615346690,0,2647.23,19.8,216
1615346700,1,2705.38,20.1,459
1615346701,0,2648.65,19.8,216
1615346711,1,2703.87,20.1,461
1615346712,0,2647.65,19.8,217
1615346722,1,2702.60,20.1,462
1615346723,0,2647.92,19.8,225
1615346733,1,2704.54,20.2,450
1615346734,0,2647.79,19.8,216
1615346744,1,2704.53,20.2,460
1615346745,0,2649.00,19.8,225
1615346755,1,2702.18,20.2,452
1615346756,0,2648.23,19.8,224
1615346766,1,2702.19,20.2,451
1615346767,0,2648.04,19.8,216
1615346777,1,2702.23,20.2,460
1615346778,0,2649.05,19.8,217
1615346788,1,2702.52,20.2,449
1615346789,0,2647.95,19.8,224
1615346799,1,2704.43,20.2,452
1615346800,0,2647.67,19.8,224
1615346810,1,2705.83,20.2,462
1615346811,0,2648.90,19.8,224
1615346821,1,2702.38,20.2,464
1615346822,0,2647.91,19.8,225
1615346832,1,2704.94,20.2,457
1615346833,0,2649.13,19.8,222
1615346843,1,2703.77,20.2,461
1615346844,0,2648.97,19.8,223
1615346854,1,2702.43,20.2,455
1615346855,0,2649.28,19.8,225
1615346865,1,2705.95,20.2,456
1615346866,0,2648.29,19.8,223
1615346876,1,2703.85,20.2,458
1615346877,0,2648.56,19.8,217
1615346887,1,2702.23,20.2,454
1615346888,0,2648.07,19.8,224
1615346898,1,2704.02,20.2,462
1615346899,0,2648.31,19.8,222
1615346909,1,2702.73,20.2,453
1615346910,0,2647.97,19.8,222
1615346920,1,2704.17,20.2,463
1615346921,0,2649.18,19.8,225
1615346931,1,2706.10,20.2,457
1615346932,0,2648.32,19.8,224
1615346942,1,2702.40,20.2,461
1615346943,0,2648.11,19.8,225
1615346953,1,2704.55,20.2,463
1615346954,0,2647.95,19.8,225
1615346964,1,2704.32,20.2,453
1615346965,0,2649.32,19.8,224
1615346975,1,2704.33,20.2,464
1615346976,0,2648.78,19.8,224
1615346986,1,2705.74,20.2,456
1615346987,0,2648.66,19.8,222
1615346997,1,2702.53,20.2,457
1615346998,0,2649.52,19.8,224
1615347008,1,2703.95,20.2,458
1615347009,0,2648.45,19.8,224
1615347019,1,2704.64,20.2,453
1615347020,0,2648.29,19.8,226
1615347030,1,2705.92,20.2,459
1615347031,0,2649.39,19.8,224
1615347041,1,2704.48,20.2,462
1615347042,0,2648.09,19.8,224
1615347052,1,2704.82,20.2,462
1615347053,0,2648.38,19.8,226
1615347063,1,2704.71,20.2,461
1615347064,0,2649.17,19.8,225
1615347074,1,2703.85,20.2,463
1615347075,0,2648.26,19.8,225
1615347085,1,2704.11,20.2,456
1615347086,0,2648.23,19.8,225
1615347096,1,2705.96,20.2,460
1615347097,0,2649.74,19.8,226
1615347107,1,2702.69,20.2,462
1615347108,0,2648.65,19.8,225
1615347118,1,2704.14,20.2,455
1615347119,0,2649.77,19.8,226
1615347129,1,2704.63,20.2,460
1615347130,0,2649.83,19.8,225
1615347140,1,2704.53,20.2,462
1615347141,0,2649.33,19.8,224
1615347150,1,2704.09,20.2,458
1615347151,0,2648.69,19.8,223
1615347161,1,2702.36,20.2,463
1615347162,0,2648.36,19.8,223
1615347172,1,2703.91,20.2,462
1615347173,0,2649.70,19.8,225
1615347183,1,2703.69,20.2,462
1615347184,0,2648.46,19.8,226
1615347194,1,2702.54,20.2,450
1615347195,0,2648.68,19.8,225
1615347205,1,2702.75,20.2,464
1615347206,0,2648.44,19.8,226
1615347216,1,2705.90,20.2,454
1615347217,0,2648.64,19.8,226
1615347227,1,2706.07,20.2,455
1615347228,0,2648.45,19.8,225
1615347238,1,2704.28,20.2,454
1615347239,0,2648.42,19.8,226
1615347249,1,2703.90,20.2,463
1615347250,0,2650.03,19.8,225
1615347260,1,2704.66,20.2,463
1615347261,0,2649.05,19.8,226
1615347271,1,2704.69,20.2,464
1615347272,0,2648.64,19.8,224
1615347282,1,2704.21,20.2,463
1615347283,0,2648.84,19.8,225
1615347293,1,2704.99,20.2,463
1615347294,0,2648.78,19.8,227
1615347304,1,2705.85,20.2,464
1615347305,0,2650.07,19.8,226
1615347315,1,2704.16,20.2,466
1615347316,0,2648.79,19.8,226
1615347326,1,2704.15,20.2,457
1615347327,0,2650.04,19.8,227
1615347337,1,2702.95,20.2,463
1615347338,0,2649.67,19.8,225
1615347348,1,2703.13,20.2,463
1615347349,0,2649.24,19.8,227
1615347359,1,2704.36,20.2,464
1615347360,0,2648.76,19.8,226
1615347370,1,2706.41,20.2,458
1615347371,0,2649.37,19.8,226
1615347381,1,2706.28,20.2,463
1615347382,0,2649.01,19.8,226
1615347392,1,2706.06,20.2,463
1615347393,0,2649.95,19.8,227
1615347403,1,2704.48,20.2,464
1615347404,0,2649.90,19.8,226
1615347414,1,2704.07,20.2,455
1615347415,0,2648.52,19.8,226
1615347425,1,2706.08,20.2,465
1615347426,0,2649.84,19.8,227
1615347436,1,2704.39,20.2,464
1615347437,0,2649.11,19.8,225
1615347447,1,2704.14,20.2,465
1615347448,0,2648.72,19.8,225
1615347458,1,2703.02,20.2,464
1615347459,0,2649.85,19.8,226
1615347469,1,2705.90,20.2,464
1615347470,0,2650.41,19.8,221
1615347480,1,2705.19,20.2,466
1615347481,0,2648.97,19.8,227
1615347491,1,2705.91,20.2,464
1615347492,0,2650.20,19.8,225
1615347502,1,2702.76,20.2,464
1615347503,0,2650.32,19.8,225
1615347513,1,2705.05,20.2,463
1615347514,0,2650.61,19.8,226
1615347524,1,2703.27,20.2,461
1615347525,0,2650.27,19.8,227
1615347535,1,2706.01,20.2,465
1615347536,0,2649.16,19.8,224
1615347546,1,2704.73,20.2,456
1615347547,0,2650.12,19.8,227
1615347557,1,2704.36,20.2,458
1615347558,0,2649.90,19.8,225
1615347568,1,2704.90,20.2,466
1615347569,0,2650.20,19.8,227
1615347579,1,2705.95,20.2,464
1615347580,0,2649.33,19.8,226
1615347590,1,2704.88,20.2,465
1615347591,0,2650.33,19.8,227
1615347601,1,2704.28,20.2,463
1615347602,0,2650.84,19.8,227
1615347612,1,2704.95,20.2,465
1615347613,0,2648.75,19.8,226
1615347623,1,2703.95,20.2,463
1615347624,0,2649.55,19.8,226
1615347634,1,2704.44,20.2,459
1615347635,0,2648.94,19.8,227
1615347645,1,2706.44,20.2,466
1615347646,0,2650.78,19.8,222
1615347656,1,2702.93,20.2,465
1615347657,0,2650.10,19.8,226
1615347667,1,2704.91,20.2,463
1615347668,0,2649.66,19.8,226
1615347678,1,2703.01,20.2,465
1615347679,0,2649.55,19.8,226
1615347689,1,2704.49,20.2,465
1615347690,0,2649.47,19.8,226
1615347700,1,2703.12,20.2,460
1615347701,0,2649.65,19.8,222
1615347711,1,2704.39,20.2,466
1615347712,0,2649.28,19.8,225
1615347722,1,2706.51,20.2,466
1615347723,0,2649.25,19.8,225
1615347733,1,2704.20,20.2,467
1615347734,0,2649.95,19.8,226
1615347744,1,2703.21,20.2,466
1615347745,0,2650.85,19.8,226
1615347755,1,2705.17,20.2,466
1615347756,0,2650.84,19.8,226
1615347766,1,2704.19,20.2,464
1615347767,0,2650.89,19.8,226
1615347777,1,2705.20,20.2,467
1615347778,0,2650.86,19.8,227
1615347788,1,2705.13,20.2,465
1615347789,0,2649.66,19.8,226
1615347799,1,2706.65,20.2,467
1615347800,0,2649.33,19.8,227
1615347810,1,2704.33,20.2,468
1615347811,0,2649.81,19.8,224
1615347821,1,2702.97,20.2,467
1615347822,0,2650.77,19.8,223
1615347832,1,2705.02,20.2,466
1615347833,0,2649.99,19.8,227
1615347843,1,2704.99,20.2,452
1615347844,0,2650.80,19.8,226
1615347854,1,2704.56,20.2,466
1615347855,0,2649.44,19.8,226
1615347865,1,2704.99,20.2,466
1615347866,0,2649.96,19.8,221
1615347876,1,2706.44,20.2,467
1615347877,0,2649.74,19.8,226
1615347887,1,2703.20,20.2,468
1615347888,0,2650.99,19.8,220
1615347898,1,2704.70,20.2,469
1615347899,0,2650.09,19.8,227
1615347909,1,2706.55,20.2,467
1615347910,0,2650.17,19.8,221
1615347920,1,2703.11,20.2,468
1615347921,0,2651.10,19.8,227
1615347931,1,2705.20,20.2,469
1615347932,0,2649.68,19.8,227
1615347942,1,2703.36,20.2,469
1615347943,0,2651.39,19.8,219
1615347953,1,2704.82,20.2,466
1615347954,0,2650.47,19.8,220
1615347964,1,2704.39,20.2,465
1615347965,0,2649.61,19.8,227
1615347975,1,2704.19,20.2,465
1615347976,0,2649.86,19.8,220
1615347986,1,2704.82,20.2,465
1615347987,0,2650.64,19.8,221
1615347997,1,2704.83,20.2,462
1615347998,0,2650.48,19.8,221
1615348008,1,2706.95,20.2,466
1615348009,0,2650.23,19.8,227
1615348018,1,2704.88,20.2,463
1615348019,0,2650.19,19.8,219
1615348029,1,2706.57,20.2,468
1615348030,0,2651.16,19.8,221
1615348040,1,2703.50,20.2,469
1615348041,0,2651.44,19.8,219
1615348051,1,2703.32,20.2,469
1615348052,0,2651.14,19.8,226
1615348062,1,2703.02,20.2,467
1615348063,0,2650.42,19.8,225
1615348073,1,2706.62,20.2,462
1615348074,0,2650.62,19.8,226
1615348084,1,2703.17,20.2,464
1615348085,0,2650.79,19.8,220
1615348095,1,2704.71,20.2,469
1615348096,0,2651.34,19.8,226
1615348106,1,2703.49,20.2,463
1615348107,0,2650.45,19.8,219
1615348117,1,2705.60,20.2,470
1615348118,0,2651.17,19.8,222
1615348128,1,2705.02,20.2,470
1615348129,0,2650.30,19.8,226
1615348139,1,2705.28,20.2,466
1615348140,0,2650.62,19.8,222
1615348150,1,2707.30,20.2,464
1615348151,0,2651.70,19.8,226
1615348161,1,2707.08,20.2,469
1615348162,0,2650.29,19.8,224
1615348172,1,2707.24,20.2,462
1615348173,0,2650.48,19.8,221
1615348183,1,2705.41,20.2,471
1615348184,0,2650.72,19.8,221
1615348194,1,2705.07,20.2,470
1615348195,0,2650.10,19.8,225
1615348205,1,2705.07,20.2,468
1615348206,0,2650.27,19.8,228
1615348216,1,2705.74,20.2,466
1615348217,0,2651.45,19.8,221
1615348227,1,2704.05,20.2,465
1615348228,0,2650.69,19.8,221
1615348238,1,2705.01,20.3,462
1615348239,0,2651.33,19.8,220
1615348249,1,2703.66,20.2,469
1615348250,0,2650.73,19.8,222
1615348260,1,2704.79,20.2,467
1615348261,0,2650.67,19.8,227
1615348271,1,2705.46,20.3,466
1615348272,0,2650.66,19.8,227
1615348282,1,2707.24,20.3,465
1615348283,0,2650.65,19.8,221
1615348293,1,2706.98,20.3,466
1615348294,0,2651.81,19.8,226
1615348304,1,2703.91,20.3,456
1615348305,0,2650.82,19.8,217
1615348315,1,2704.05,20.3,464
1615348316,0,2651.28,19.8,226
1615348326,1,2704.89,20.3,467
1615348327,0,2650.64,19.8,222
1615348337,1,2706.67,20.3,462
1615348338,0,2651.14,19.8,230
1615348348,1,2706.76,20.3,468
1615348349,0,2651.05,19.8,227
1615348359,1,2705.55,20.3,468
1615348360,0,2652.23,19.8,227
1615348370,1,2706.89,20.3,463
1615348371,0,2651.66,19.8,222
1615348381,1,2704.23,20.3,466
1615348382,0,2651.90,19.8,220
1615348392,1,2705.24,20.3,468
1615348393,0,2651.76,19.8,220
1615348403,1,2703.42,20.3,464
1615348404,0,2650.68,19.8,221
1615348414,1,2703.41,20.3,468
1615348415,0,2650.86,19.8,221
1615348425,1,2705.19,20.3,467
1615348426,0,2650.60,19.8,222
1615348436,1,2703.92,20.3,455
1615348437,0,2651.78,19.8,228
1615348447,1,2705.22,20.3,463
1615348448,0,2652.14,19.8,219
1615348458,1,2703.67,20.3,470
1615348459,0,2650.86,19.8,225
1615348469,1,2705.60,20.3,455
1615348470,0,2650.89,19.8,226
1615348480,1,2705.71,20.3,452
1615348481,0,2651.70,19.8,220
1615348491,1,2703.93,20.3,463
1615348492,0,2651.24,19.8,220
1615348502,1,2707.58,20.3,467
1615348503,0,2650.64,19.8,225
1615348513,1,2703.53,20.3,468
1615348514,0,2650.90,19.8,225
1615348524,1,2705.50,20.3,469
1615348525,0,2650.96,19.8,225
1615348535,1,2705.07,20.3,469
1615348536,0,2652.27,19.8,222
1615348546,1,2703.71,20.3,453
1615348547,0,2652.09,19.8,221
1615348557,1,2703.42,20.3,467
1615348558,0,2651.98,19.8,220
1615348568,1,2707.03,20.3,463
1615348569,0,2651.27,19.8,227
1615348579,1,2706.94,20.3,465
1615348580,0,2650.99,19.8,227
1615348590,1,2704.09,20.3,469
1615348591,0,2651.67,19.8,220
1615348601,1,2705.18,20.3,467
1615348602,0,2650.97,19.8,220
1615348612,1,2706.11,20.3,453
1615348613,0,2650.75,19.8,227
1615348623,1,2705.16,20.3,468
1615348624,0,2651.97,19.8,220
1615348634,1,2707.13,20.3,469
1615348635,0,2651.77,19.8,220
1615348645,1,2703.77,20.3,464
1615348646,0,2652.03,19.8,225
1615348656,1,2705.58,20.3,456
1615348657,0,2651.21,19.8,221
1615348667,1,2707.17,20.3,464
1615348668,0,2651.24,19.8,221
1615348678,1,2703.98,20.3,469
1615348679,0,2651.63,19.8,222
1615348689,1,2704.13,20.3,470
1615348690,0,2651.25,19.8,221
1615348700,1,2705.82,20.3,471
1615348701,0,2651.34,19.8,223
1615348711,1,2705.13,20.3,464
1615348712,0,2651.46,19.8,229
1615348722,1,2707.64,20.3,468
1615348723,0,2652.32,19.8,226
1615348733,1,2704.17,20.3,457
1615348734,0,2652.31,19.8,220
1615348744,1,2705.21,20.3,468
1615348745,0,2651.10,19.8,228
1615348755,1,2707.70,20.3,452
1615348756,0,2652.67,19.8,228
1615348766,1,2707.80,20.3,464
1615348767,0,2651.09,19.8,228
1615348777,1,2705.31,20.3,468
1615348778,0,2653.06,19.8,229
1615348788,1,2705.46,20.3,462
1615348789,0,2651.03,19.8,229
1615348799,1,2707.58,20.3,469
1615348800,0,2652.47,19.8,229
1615348810,1,2707.15,20.3,468
1615348811,0,2652.46,19.8,228
1615348821,1,2703.93,20.3,469
1615348822,0,2652.54,19.8,221
1615348832,1,2706.23,20.3,469
1615348833,0,2651.81,19.8,229
1615348843,1,2707.48,20.3,469
1615348844,0,2651.63,19.8,220
1615348854,1,2704.19,20.3,469
1615348855,0,2652.10,19.8,225
1615348865,1,2705.41,20.3,469
1615348866,0,2652.46,19.8,224
1615348876,1,2705.73,20.3,468
1615348877,0,2651.66,19.8,220
1615348887,1,2706.26,20.3,469
1615348888,0,2652.65,19.8,220
1615348898,1,2705.50,20.3,468
1615348899,0,2652.84,19.8,223
1615348909,1,2707.09,20.3,468
1615348910,0,2651.61,19.8,227
1615348920,1,2705.96,20.3,448
1615348921,0,2652.46,19.8,221